date,open,high,low,close,volume
2020-07-10,289.452547,292.740218,288.025141,292.473145,57550400
2020-07-13,294.812288,297.188234,289.286802,289.940643,102997500
2020-07-14,288.522316,294.471440,287.325139,293.697876,93657000
2020-07-15,296.911889,297.492069,294.020205,296.396179,87196500
2020-07-16,294.499099,295.871252,293.854448,295.420013,54622500
2020-07-17,296.423869,297.059302,294.453100,296.276520,62774900
2020-07-20,296.009443,299.416837,295.263505,298.670898,56308800
2020-07-21,300.632424,301.074444,298.320920,299.306305,57292200
2020-07-22,298.947171,301.323145,298.836666,301.010010,57792900
2020-07-23,300.650782,301.350686,296.055431,297.418365,75738000
2020-07-24,295.567370,296.525100,294.001805,295.502899,73766600
2020-07-27,296.193648,297.832874,295.401647,297.657898,48293000
2020-07-28,296.930383,298.044709,295.475351,295.770050,57495000
2020-07-29,296.644881,299.969396,296.608036,299.407623,48454200
2020-07-30,296.442305,298.753809,294.361058,298.339386,61861700
2020-07-31,300.125937,300.798215,295.917352,300.696899,84986800
2020-08-03,302.354584,303.551761,301.811248,302.787415,53077900
2020-08-04,301.930887,303.956909,301.930887,303.956909,41917900
2020-08-05,305.255387,306.102640,304.988314,305.844757,42697700
2020-08-06,305.264608,308.008914,304.942282,307.889191,43679400
2020-08-07,306.922303,308.395772,306.019797,308.110291,57308300
2020-08-10,308.561453,309.215294,306.627528,309.031128,44282100
2020-08-11,310.209913,310.845346,305.752692,306.480194,69601100
2020-08-12,308.911376,311.526769,308.883750,310.753204,53774400
2020-08-13,309.988926,311.499239,309.270614,310.191528,41816100
2020-08-14,309.804789,310.734921,309.077259,310.200775,47260400
2020-08-17,311.213722,311.582083,310.209929,311.186096,35481000
2020-08-18,311.582107,312.282011,309.988916,311.858398,38733900
2020-08-19,312.235979,312.751689,309.998164,310.559937,68054200
2020-08-20,308.837683,312.005629,308.708770,311.526764,42207800
2020-08-21,311.195304,312.852938,310.854542,312.631927,55106600
2020-08-24,315.063118,315.873526,312.604293,315.799866,48588700
2020-08-25,316.361602,316.987817,315.201241,316.904938,38463400
2020-08-26,317.494387,320.349198,316.951051,320.082153,50790200
2020-08-27,320.947799,322.227855,319.124379,320.782013,58034100
2020-08-28,321.804268,322.983037,320.616281,322.854095,48588900
2020-08-31,322.642268,323.517119,321.454281,321.684509,66099200
2020-09-01,322.513327,324.815612,321.620039,324.714325,54908700
2020-09-02,326.620521,330.377837,325.478569,329.410889,69540000
2020-09-03,327.725748,328.195424,315.496008,318.074585,148011100
2020-09-04,318.755960,320.321497,308.386460,315.477509,139156300
2020-09-08,310.081018,315.542061,306.553929,306.857819,114465300
2020-09-09,310.854583,315.376275,309.988921,312.917450,91462300
2020-09-10,314.786882,315.440723,306.526281,307.484039,90569500
2020-09-11,309.261382,310.320427,304.822569,307.640564,84680200
2020-09-14,310.799339,313.460795,307.787960,311.692627,65605700
